pfam_number	Name	Description	Long_description	enzyme_annotation
PF04555	XhoI	Restriction endonuclease XhoI	This family consists of type II restriction enzymes (EC:3.1.21.4) that recognise the double-stranded sequence CTCGAG and cleave after C-1.	m
PF04572	Gb3_synth	Alpha 1,4-glycosyltransferase conserved region	The glycosphingolipids (GSL) form part of eukaryotic cell membranes. They consist of a hydrophilic carbohydrate moiety linked to a hydrophobic ceramide tail embedded within the lipid bilayer of the membrane. Lactosylceramide, Gal1,4Glc1Cer (LacCer), is the common synthetic precursor to the majority of GSL found in vertebrates. Alpha 1.4-glycosyltransferases utilise UDP donors and transfer the sugar to a beta-linked acceptor. This region appears to be confined to higher eukaryotes. No function has been yet assigned to this region [1].  	y
PF04577	DUF563	Protein of unknown function (DUF563)	Family of uncharacterised proteins.	u
PF04587	ADP_PFK_GK	ADP-specific Phosphofructokinase/Glucokinase conserved region	In archaea a novel type of glycolytic pathway exists that is deviant from the classical Embden-Meyerhof pathway. This pathway utilises two novel proteins: an ADP-dependent Glucokinase and an ADP-dependent Phosphofructokinase.  This conserved region is present at the C-terminal of both these proteins.  Interestingly this family contains sequences from higher eukaryotes. [1,2,3]. 	y
PF04607	RelA_SpoT	Region found in RelA / SpoT proteins	This region of unknown function is found in RelA and SpoT of Escherichia coli, and their homologues in plants and in other eubacteria. RelA is a guanosine 3',5'-bis-pyrophosphate (ppGpp) synthetase (EC:2.7.6.5) while SpoT is thought to be a bifunctional enzyme catalysing both ppGpp  synthesis and degradation (ppGpp 3'-pyrophosphohydrolase, (EC:3.1.7.2)) [1]. This region is often found in association with HD (Pfam:PF01966), a  metal-dependent phosphohydrolase, TGS (Pfam:PF02824) which is a possible  nucleotide-binding region, and the ACT regulatory domain (Pfam:PF01842).	m
PF04608	PgpA	Phosphatidylglycerophosphatase A	This family represents a family of bacterial phosphatidylglycerophosphatases (EC:3.1.3.27), known as PgpA. It appears that bacteria possess several phosphatidylglycerophosphatases, and thus, PgpA is not essential in Escherichia coli [1].	y
PF04613	LpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD  	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.-) catalyses an early step in lipid A biosynthesis: UDP-3-O-(3-hydroxytetradecanoyl)glucosamine + (R)-3-hydroxytetradecanoyl- [acyl carrier protein] -> UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine + [acyl carrier protein] [1]. Members of this family also contain a hexapeptide repeat (Pfam:PF00132).  This family constitutes the non-repeating region of LPXD proteins.	y
PF04616	Glyco_hydro_43	Glycosyl hydrolases family 43	The glycosyl hydrolase family 43 contains members that are arabinanases. Arabinanases hydrolyse the alpha-1,5-linked  L-arabinofuranoside backbone of plant cell wall arabinans.  The structure of arabinanase Arb43A from Cellvibrio japonicus reveals a five-bladed beta-propeller fold. A long V-shaped  groove, partially enclosed at one end, forms a single extended  substrate-binding surface across the face of the propeller [1].	s
PF04655	APH_6_hur	Aminoglycoside/hydroxyurea antibiotic resistance kinase	The aminoglycoside phosphotransferases achieve inactivation of their antibiotic substrates by phosphorylation utilising ATP. Likewise hydroxyurea is inactivated by phosphorylation of the hydroxy group in the hydroxylamine moiety [1,2,3].	y
PF04663	Phenol_monoox	Phenol hydroxylase conserved region	Under aerobic conditions, phenol is usually hydroxylated to catechol and degraded via the meta or ortho pathways. Two types of phenol hydroxylase are known: one is a multi-component enzyme the other is a single-component monooxygenase.  This region is found in both types of enzymes [1,2].	y
PF04673	Cyclase_polyket	Polyketide synthesis cyclase	This family represents a number of cyclases involved in polyketide synthesis in a number of actinobacterial species.	y
PF04710	Pellino	Pellino	Pellino is involved in Toll-like signalling pathways, and associates with the kinase domain of the Pelle Ser/Thr kinase [1,2,3].	m
PF04715	Anth_synt_I_N	Anthranilate synthase component I, N terminal region	Anthranilate synthase (EC:4.1.3.27) catalyses the first step in the  biosynthesis of tryptophan.  Component I catalyses the formation of  anthranilate using ammonia and chorismate.  The catalytic site lies in the adjacent region, described in the chorismate binding enzyme family  (Pfam:PF00425). This region is involved in feedback inhibition by tryptophan [1].  This family also contains a region of Para-aminobenzoate synthase component I (EC 4.1.3.-).	y
PF04723	GRDA	Glycine reductase complex selenoprotein A	Found in clostridia, this protein contains one active site selenocysteine and catalyses the reductive deamination of glycine, which is coupled to the esterification of orthophosphate resulting in the formation of ATP [1]. A member of this family may also exist in Treponema denticola [2].	y
PF04724	Glyco_transf_17	Glycosyltransferase family 17	This family represents beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase (EC:2.4.1.144). This enzyme transfers the bisecting GlcNAc to the core mannose of complex N-glycans. The addition of this residue is regulated during development and has functional consequences for receptor signalling, cell adhesion, and tumour progression [1,2].	s
PF04734	Ceramidase_alk	Neutral/alkaline non-lysosomal ceramidase, N-terminal	This family represents N-terminal domain of a group of neutral/alkaline ceramidases found in both bacteria and eukaryotes [1,2,3]. The EC classification is EC:3.5.1.23.  The enzyme hydrolyses ceramide to generate sphingosine and fatty acid. The enzyme plays a regulatory role in a variety of physiological events in eukaryotes and also functions as an exotoxin in particular bacteria. This N-terminal domain carries two metal-binding sites, the first for Zn2+ residing within the domain, and the second, for Mg2+/Ca2+ lying at the interface between the two domains [4].	y
PF04744	Monooxygenase_B	Monooxygenase subunit B protein	Family of membrane associated monooxygenases (EC 1.13.12.-) which utilise O(2) to oxidise their substrate.  Family members include both ammonia and methane monooxygenases involved in the oxidation of their respective substrates.  These enzymes are multi-subunit  complexes.  This family represents the B subunit of the enzyme; the A subunit is thought to contain the active site. [1,2]. 	y
PF04752	ChaC	ChaC-like protein	The ChaC family of proteins function as gamma-glutamyl cyclotransferases acting specifically to degrade glutathione but not other gamma-glutamyl peptides [1, 2]. It is is conversed across all phyla and represents a new pathway for glutathione degradation in living cells.	y
PF04762	IKI3	IKI3 family	Members of this family are components of the elongator multi-subunit component of a novel RNA polymerase II holoenzyme for transcriptional elongation [1]. This region contains WD40 like repeats.	m
PF04765	DUF616	Protein of unknown function (DUF616)	Family of uncharacterised proteins.	u
PF04768	NAT	NAT, N-acetyltransferase, of N-acetylglutamate synthase	This is the C-terminal NAT or N-acetyltransferase domain of bifunctional N-acetylglutamate synthase/kinases. It catalyzes the first two steps in arginine biosynthesis. This domain contains the putative NAGS - N-acetylglutamate synthase - active site. It is found at the C-terminus of Neurospora crassa acetylglutamate synthase - amino-acid acetyltransferase, EC: 2.3.1.1.  It is also found C-terminal to the amino acid kinase region (Pfam:PF00696) in some fungal acetylglutamate kinase enzymes [1].  it stabilises the yeast NAGK, N-acetyl-L-glutamate kinase, slows catalysis and modulates feed-back inhibition by arginine [2]. This domain is found to be the N-acetyltransferase (NAT) domain, and it has a typical GCN5-related NAT fold and a site that catalyzes NAG synthesis which is located >25 Angstrom away from the L-arginine binding site in the N-temrinal domain Pfam:PF00696 [3].	y
PF04775	Bile_Hydr_Trans	Acyl-CoA thioester hydrolase/BAAT N-terminal region	This family consists of the amino termini of acyl-CoA thioester hydrolase and bile acid-CoA:amino acid N-acetyltransferase (BAAT) [1].  This region is not thought to contain the active site of either enzyme.  Thioesterase isoforms have been identified in peroxisomes, cytoplasm and mitochondria, where they are thought to have distinct functions in lipid metabolism [2].  For example, in peroxisomes, the hydrolase acts on bile-CoA esters [1].	y
PF04794	YdjC	YdjC-like protein	Family of YdjC-like proteins.  This region is possibly involved in the the cleavage of cellobiose-phosphate [1].	u
PF04797	Herpes_ORF11	Herpesvirus dUTPase protein	This family of proteins are found in Herpesvirus proteins.  This family includes proteins called ORF10 and ORF11 amongst others. However, these proteins seem to be related to other dUTPases Pfam:PF00692 suggesting that these proteins are also dUTPases (Bateman A pers. obs.).	y
PF04816	TrmK	tRNA (adenine(22)-N(1))-methyltransferase	tRNA_MT is a family of bacterial tRNA (adenine(22)-N(1))-methyltransferase enzymes with a Rossmann-like fold. This enzyme carries out the function of N1-adenosine methylation at position 22 of bacterial tRNA [1].	y
PF04820	Trp_halogenase	Tryptophan halogenase	Tryptophan halogenase catalyses the chlorination of tryptophan to form 7-chlorotryptophan.  This is the first step in the biosynthesis of pyrrolnitrin, an antibiotic with broad-spectrum anti-fungal activity. Tryptophan halogenase is NADH-dependent [1].	y
PF04828	GFA	Glutathione-dependent formaldehyde-activating enzyme	The GFA enzyme catalyzes the first step in the detoxification of formaldehyde. This domain has a beta-tent fold [1].	y
PF04851	ResIII	Type III restriction enzyme, res subunit		m
PF04857	CAF1	CAF1 family ribonuclease	The major pathways of mRNA turnover in eukaryotes initiate with shortening of the polyA tail. CAF1 Swiss:P39008 encodes a critical component of the major cytoplasmic deadenylase in yeast. Both Caf1p is required for normal mRNA deadenylation in vivo and localises to the cytoplasm. Caf1p copurifies with a Ccr4p-dependent polyA-specific exonuclease activity. Some members of this family include and inserted RNA binding domain Pfam:PF01424. This family of proteins is related to other exonucleases Pfam:PF00929 (Bateman A pers. obs.). The crystal structure of Saccharomyces cerevisiae Pop2 (Swiss:P39008) has been resolved at 2.3 Angstrom resolution [3].	m
PF04862	DUF642	Protein of unknown function (DUF642)	This family represents a duplicated conserved region found in a number of uncharacterised plant proteins, potentially in the stem. There is a conserved CGP sequence motif.	u
PF04864	Alliinase_C	Allinase	Allicin is a thiosulphinate that gives rise to dithiines, allyl sulphides and ajoenes, the three groups of active compounds in Allium species. Allicin is synthesised from sulfoxide cysteine derivatives by alliinase (EC:4.4.1.4), whose C-S lyase activity cleaves C(beta)-S(gamma) bonds. It is thought that this enzyme forms part of a primitive plant defence system.	y
PF04868	PDE6_gamma	Retinal cGMP phosphodiesterase, gamma subunit	Retinal rod and cone cGMP phosphodiesterases function as the effector enzymes in the vertebrate visual transduction cascade. This family represents the inhibitory gamma subunit [1], which is also expressed outside retinal tissues and has been shown to interact with the G-protein-coupled receptor kinase 2 signalling system to regulate the epidermal growth factor- and thrombin-dependent stimulation of p42/p44 mitogen-activated protein kinase in human embryonic kidney 293 cells [2].	y
